rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type
3.0,2.0,1.0,56.0,56.0,148000.0,Casa
3.0,2.0,1.0,56.0,56.0,148000.0,Casa
4.0,3.0,2.0,91.0,78.0,249000.0,Casa
4.0,3.0,2.0,106.0,76.0,268000.0,Casa
4.0,3.0,1.0,130.0,110.0,279000.0,Casa
4.0,3.0,1.0,130.0,110.0,279000.0,Casa
4.0,3.0,2.0,120.0,100.0,95000.0,Casa
3.0,2.0,2.0,82.0,74.0,179000.0,Casa
2.0,1.0,1.0,102.0,70.0,230000.0,Casa
4.0,2.0,2.0,89.0,82.0,285000.0,Casa
4.0,3.0,2.0,140.0,110.0,280000.0,Casa
3.0,2.0,2.0,141.0,93.0,205000.0,Casa
3.0,2.0,1.0,95.0,70.0,195000.0,Casa
4.0,2.0,2.0,105.0,97.0,320000.0,Casa
4.0,2.0,2.0,105.0,97.0,320000.0,Casa
4.0,3.0,2.0,141.0,89.0,230000.0,Casa
3.0,2.0,1.0,74.0,72.0,130000.0,Casa
4.0,3.0,1.0,126.0,86.0,270000.0,Casa
3.0,2.0,1.0,130.0,80.0,250000.0,Casa
3.0,2.0,1.0,148.0,112.0,170000.0,Casa
4.0,3.0,2.0,122.0,122.0,159000.0,Casa
4.0,3.0,1.0,150.0,132.0,239000.0,Casa
4.0,3.0,2.0,153.0,123.0,220000.0,Casa
1.0,1.0,1.0,26.0,26.0,67500.0,Casa
2.0,1.0,1.0,61.0,61.0,165000.0,Casa
3.0,2.0,2.0,86.0,78.0,297000.0,Casa
2.0,1.0,1.0,35.0,35.0,85000.0,Casa
4.0,3.0,1.0,120.0,84.0,138000.0,Casa
4.0,2.0,1.0,150.0,76.0,150000.0,Casa
4.0,3.0,1.0,138.0,90.0,249700.0,Casa
4.0,3.0,3.0,126.0,126.0,390000.0,Casa
4.0,2.0,1.0,105.0,88.0,255000.0,Casa
4.0,3.0,2.0,120.0,120.0,232000.0,Casa
4.0,3.0,2.0,152.0,135.0,210000.0,Casa
4.0,3.0,1.0,140.0,109.0,210000.0,Casa
3.0,2.0,1.0,125.0,65.0,120000.0,Casa
4.0,3.0,2.0,120.0,110.0,220000.0,Casa
4.0,3.0,1.0,140.0,130.0,249000.0,Casa
4.0,3.0,2.0,143.0,110.0,280000.0,Casa
4.0,3.0,2.0,91.0,78.0,249000.0,Casa
3.0,2.0,1.0,56.0,56.0,148000.0,Casa
3.0,2.0,1.0,56.0,56.0,148000.0,Casa
3.0,2.0,2.0,93.0,64.0,178000.0,Casa
3.0,2.0,2.0,80.0,75.0,169000.0,Casa
3.0,2.0,1.0,153.0,83.0,335000.0,Casa
3.0,2.0,1.0,105.0,74.0,259000.0,Casa
3.0,2.0,2.0,107.0,107.0,200000.0,Casa
3.0,2.0,2.0,139.0,117.0,350000.0,Casa
3.0,2.0,2.0,120.0,111.0,380000.0,Casa
3.0,2.0,2.0,79.0,61.0,183000.0,Casa
4.0,2.0,1.0,117.0,113.0,135000.0,Casa
3.0,2.0,1.0,93.0,93.0,80000.0,Casa
3.0,2.0,1.0,100.0,67.0,132000.0,Casa
